painting,domi_emotion,utterance_combined
marc-chagall_david-1914,excitement,"Great energy in this portrait, which actually captures the spirit of the music.It's just a wonderful image, full of life and makes you think of jazz!You can tell he is really playing that instrument with passion."
marc-chagall_the-blue-house-1917,awe,"The purple log cabin stands out nicely against the buildings in the background.The colors used in this painting are very vibrant.  i love the purple/blue color that is used for the house in the forefront of the picture.I adore this abstract, blocky style and the color choices are stunning."
marevna-(marie-vorobieff)_portrait-of-diego-rivera-1960,something else,"It gives me a feeling of respect, like i'm looking at a venerable figure, likely because of the tilt of the head.I don't know how i feel about this. it's realistic and cubism. i don't like cubism but i like realism. but both in one seems interesting.The angular displacement of his face makes me feel uncomfortable."
max-weber_rush-hour,excitement,"The triangles or cones have such a strange vibe like the jazz music of art paintings.Not really sure what it is, however i like all the colors that seem to coordinate together well.This abstract art has achieved its effect in using shapes, forms, colors. i do feel excitement with this abstract."
nzante-spee_david-and-goliath-1995,awe,"The beautiful color scheme creates a journey with a strong sense of adventure. the busy elements add more amazing detail and interest.I'm amazed at the artist's choice to use bright reds, blues, and purples in the piece.The dark and saturated blues contrast well with the dark reds, especially on this person's shirt."
otto-gustav-carlsund_sitting-cubist-woman-1927,disgust,"The body is drawn in an unidealized manner with heavy breasts and rolls of fat, but the face is a blank oval.  it looks grotesque.Looks like a fat monster with breasts, and that neck is awful.The lack of discernible facial features makes this both frightening and revolting."
pablo-picasso_a-reclining-female-nude-1936,disgust,"I see a bloated body, like my spouse who sees herself as ugly. as if someone with severe depression is looking at themself (after having children) and seeing the bloated distortions of their body.. the exploding gut, sagging breasts..fat arms..  its a self portrait of someone who sees themselves as disgusting..I green and yellow do not blend well together and the lines don't flow very well.The grotesque and unrealistic proportions of the persons body as well as the green color make me feel ill and disgusted."
pablo-picasso_bust-of-a-woman-1942,disgust,"Abstract art can be viewed as how the artist really see the inside of a person the dark colors and distorted features  show thoughts that the person has some mental health issues.The woman's face is distorted, creating an unpleasing sensation, as if you're looking into a carnival mirror.The face looks pigish and the colors are ugly."
pablo-picasso_cock-and-knife-1947,fear,The chicken looks like it will be slaughtered shortly and i get a sense of pain and looming fear because of it.Looks like a scorpion is escaping from the persons body.I feel fear as this animal is hacked to pieces.
pablo-picasso_las-meninas-velazquez-1957,amusement,Lots of bold and strong colors in a maze of designs that looks like a village painting.A comic painting of a dog and little boy who is lost in the wizard of oz.This is a fun piece to look at.  there are all sorts of things going on and the colors are really vivid.All of these bright colors look great together. the red and yellow especially.
theo-van-doesburg_composition-the-cow-7,anger,"This is a random sketch of a square, not a real painting.The simple sketch lines tells nothing and confuses me on what this is suppose to be.Looking at this makes me think of a swastika, which only gives me anger."
wifredo-lam_figure-blanche,something else,"I'm still completely unsure of what im looking at after 30 seconds of staring at it.Looks like an anteater learning to walk on two legs for the first time.Surprised. this reminds me of cartoons by rube goldberg. a strange-looking bird, which has a bit of asian dragon look to it, kind of amusing."
yiannis-moralis_not-detected-16,amusement,"The characters deppicted by merging shapes is just so fun to look at.A simple sketch of two figures fornicating, using basic shapes.It looks like a man and a woman facing each other with the woman straddling the man and his hands under her butt... probably having sex.Pictures like this always amuse me, not that they are clearly engaged in sexual activity, but the shapes that are used amuse me, yet also makes me realize we are all different."
andrea-del-castagno_crucifixion-and-saints,awe,There is a reverence in the figures for christ.With the coming holidays and celebration of christmas this picture is the mainstay of the christian religion. this picture is very reverent to me.Because of the religious theme.
andrea-del-castagno_farinata-degli-uberti,awe,This paint real captured and displayed the greatest of his armor.I look at the proud face of the man posing in his best suit of armour and feel awe at this site!This man looks like he could protect me if i was in danger.
andrea-del-verrocchio_the-doubting-thomas-1483,awe,The level of skill needed by the artist is astounding.This is quite beautiful.  i would like to know the meaning behind this sculpture.Ancient statutes in a sacred location.
andrea-mantegna_the-entombment-1459,sadness,"Burial of jesus maybe, whomever, however, still sad, people are grieving.The person being tended to looks close to death, or perhaps already dead.This depicts jesus when he was crucified.I makes me feel sad as somebody is dying in this picture."
antonello-da-messina_portrait-of-a-man-1470,amusement,"His slight smirk makes it look like he is thinking of a private joke.His eyes look like he is keeping a playful secret.He's got this funny grin, like he's in on a joke.Playful look on the face."
benozzo-gozzoli_birth-of-st-francis-prophecy-of-the-birth-by-a-pilgrim-homage-of-the-simple-man,awe,The framing is very pleasant to see.Its the baby jesus.The separation of two different groups of people contrasts with each having people with black halo's over their heads.
benozzo-gozzoli_descent-from-the-cross,sadness,The way the deaths are being handled make me grieve.Taking jesus down from the cross.The details in the characters are amazing but the depiction is depressing.
benozzo-gozzoli_st-fortunatus-enthroned,awe,"Strong subject.  details are incredible  makes me feel in awe of the subject.A merciful person.The pose and strong, forward gaze make the figure appear royal and important.I am not religious, and normally religious things make me angry. artwork is different though. this man appears very important. he is holding some sort of branch and some scripture. he is being exalted by people. i love knowing the stories behind paintings like these."
carlo-crivelli_mary-with-child,awe,It is a religious scene. it evokes piety.The regal purple colors along with the detailed faces of the woman and baby are breathtaking.The features are very well drawn.
carlo-crivelli_piet,sadness,Looks like jesus and grieving angels.The angels crying over jesus dying in their hands.The details of the wounds and the cherub faces are grusome.
carlo-crivelli_saint-paul-saint-john-chrysostom-and-saint-basil,amusement,I am amused because the people in the photo are doing interesting things.Enjoy this old time style and feels fun and usually full of action.That these learned men are all looking for something and none of them capable of finding it.
domenico-ghirlandaio_adoration-of-the-magi-1490,awe,The imagery and detail is beautiful and you can feel the love and respect that the people feel for the central figure.All the gods.The fine little details are incredible.
domenico-ghirlandaio_confirmation-of-the-rule-1485,awe,"A life like moment in time captured.Pictures within the pictures.The characters are all looking at the priest with awe, they all have their gazes locked him.  it looks like a serious scene."
domenico-ghirlandaio_giovanna-tornabuoni-and-her-accompaniment,awe,"The women are wearing beautiful dresses from a different era.I love the ornate and bright costumes of that era.The fabrics, the draping.Anticipation of what's to come. the vivid colors suggest a pleasant outcome, one filled with hope and love."
domenico-ghirlandaio_the-funeral-of-st-fina-1475,awe,"The architecture in the back is astounding.There is basic human mourning, but it also feels as if the entire city--from elders to children--has come out to pay respect, as if a crucial figure in the community has passed.The detail in the painting is precise and very realistic."
fra-angelico_institution-of-the-eucharist-1446,something else,Maybe mercy and forgiveness.  the guys kneeling seem to be begging for forgiveness or praying for mercy.Endless scenes of vaguely religious type make me bored. also the monochrome lacks excitement.The lack of color diminishes the paintings interest.
fra-angelico_marriage-of-the-virgin-1434,something else,"The blackness of the trees in contrast to the light colored buildings gives a sense of foreboding.This takes me back to my catholic upbringing.  it makes me remenicent of history class studying the middle ages.The bright colors, and the wedding happening, always brings joy."
fra-angelico_transfiguration-1442,awe,The god in the center wearing all white make me feel calm.I feel awe for the christ who sacrificed himself.The central figure being highlighted makes him heroic and angelic with his worshippers delighted by his presence.The gold and white circle background makes jesus stand out very brightly as well as the halo's over their heads.
fra-angelico_view-of-the-chapel-vaulting,awe,"This is like a choir divided into sections ready to give a heavenly performance.The lines through the middle make this piece come to life, the look like crossbeams or a tapestry.The detail is extraordinary, and the gold/yellow gives off a very calming, complete feel.Intricately painted chapel ceiling with blues and yellows.Looks like the ceiling in a cathedral. a find a sense of awe and divinity."
giovanni-bellini_dead-christ-in-the-sepulchre-2,sadness,"It is jesus standing in his own coffin, and his face is so sad.The man has had his side pierced and he is saddened.This painting reminds me of isaiah that says jesus is a man of sorrow and acquainted with grief.The man looks to be lost and forlorn."
giovanni-bellini_greek-madonna-1460,sadness,"They both look sad, maybe because they know what will happen in the future.The faces, especially the baby's face have sad expressions on them.Grief and loss of a loved one maybe,  the expressions on both the mother and child are so heartbreaking.The mother and child look so depressed in this, and it's palpable.The sadness in both of their eyes and the way they are looking in the ditance, deep in thought."
giovanni-bellini_madonna-and-child-2,sadness,"The woman looks tired and the child is calm yet observing something above them. so i feel empathy for the woman.The mother looks sad, and the baby looks sick.The woman has a solemn look on her face and the baby appears unfocused."
giovanni-bellini_madonna-with-child-blessing-1464,sadness,"Mary and child drawn in a gloomy fashing due to the dark colors.The mother's expression is blank and despondent, and the lines on her face appear to be trails of tears.The look on their faces is sad and depressing.The streaks in the painting make it look as if the woman is crying."
giovanni-bellini_polyptych-of-san-vincenzo-ferreri-1468-5,awe,"Supernatural strength and protection radiate from the tall, muscular saint who carries the christ child on his shoulders. the expression of pure love and peace with which he looks up at christ reveals where he gets his strength. this is calming and comforting as one realizes we all can access this strength.The woman's muscular legs remind me of the strength of a mother.Such a strong man taking care of his charge and making sure he feel secure."
jacopo-bellini_dormition-of-the-virgin,awe,"So much detail. i feel like i am in this building. i am at awe.I am amazed by the delicate details in the realistic-looking architecture. someone clearly spent a long time working on this.The architecture of this building is majestic, i am in total awe!"
jacopo-bellini_the-twelve-apostles-in-a-barrel-vaulted-passage-1470,awe,"The statues are huddled waiting to get in to heaven, it is inspiring.The perfect symmetry of the arches are awe-inspiring.Makes me think of the ""halls of shangrila"" and the gathering of spirit beings. the whiteness of the painting denotes spiritual enlightenment."
leonardo-da-vinci_self-portrait-leonardo-discovered-a-2009-in-leonardo-s-codex-on-the-flight-of-birds,awe,"The man depicted looks very thoughtful, possibly a bit morose. it seems like he's reflecting on something internally, which inspires wonder in me. i want to know what he's thinking about, what he's looking at, etc.The way that the face is blended with the background is very inspiring.Christ written of ""in the scroll of the book"".The man looks important, and the writing around him looks like history written down."
luca-signorelli_view-of-the-vaulting-of-the-sacristy-of-st-john-1482,awe,"Looks like a very pristine, biblical potrait on a church ceiling.This image is beautiful and grandiose from its multidimensional perspective.The design is segmented into panels that each tell parts of a great story."
paolo-uccello_victory-over-bernardino-della-ciarda-1438,sadness,"It looks like theres a war going on and people are jousting into each other as others fall.I feel sadness due to the generally dark theme and many fallen knights and steeds in this epic medieval battle.The colors of the horses are vibrant, even if they are being killed."
piero-della-francesca_federico-da-montefeltro-1472(1),something else,"Bowed down in humble submission as if to royalty.This painting makes me feel uncomfortable; the proportions seem ""off"", and i don't know if the subject is praying for mercy, or about to be knighted.The knight is clealry having a great day but the feet of the other man are distracting me."
piero-della-francesca_hercules,something else,This painting is odd because of what the man is not wearing.It is very lifelike and kinda of ugly if you were to ask me.He just looks plain. i don't get any tone out of him.
piero-della-francesca_victory-of-constantine-at-the-battle-of-the-milvian-bridge-1464(1),fear,"The man seems to be riding to battle, and that is scary.There is a frightening battling raging. even the horses look scared.Facial expressions look to be just entering a battle and things seem tense and scary."
pietro-perugino_st-jerome-who-resurrected-the-bishop-andrea-1473,sadness,The person in the bed appears to be ill.The person in the bed seens to be sick or dying.This painting depicts a man in his dying hour.
sandro-botticelli_adoration-of-the-child(1),awe,Tender picture that shows the emotions on their face.This is very sweet image because of the small child.There seems to be some kind of divine worship happening in the work.
sandro-botticelli_judith-leaving-the-tent-of-holofernes-1500(1),excitement,"The story to this painting seems quite interesting, a pregnant woman going to war.I love seeing a strong woman in this painting. her holding the guys head is just interesting!Strength and femininity shown here. the feminine swell of the pregnant belly couples well with the strength of carrying a severed head."
sandro-botticelli_madonna-del-magnificat-1485(1),awe,Beautiful piece that pops out with color especially the reds.The woman and child releases a schoolhouse look that is nested inside of a victorian style frame.Feel like this takes place a few hundred years ago. seems like a family and maybe angels.
sandro-botticelli_the-birth-of-venus-1485(1),awe,"The colors of this painting are a bit muted and dark, but the attention to detail and harmony between the people and nature in the picture capture my attention and interest.The nude figure in the center inspires a sense of wonder, as if she is the very essence of beauty.The elegance of the pretty woman in the middle attracting lots of fans with the others flying to her, is truly awe inspiring.Birth of venus.  truly a masterpiece.  the beauty of the female for on full display."
sandro-botticelli_the-virgin-adoring-the-child-1490(1),something else,"Concerned/worried. their faces look like they are concerned or worried about something.Mary and jesus surrounded by a bevy of archangels. the expressions are all blank, solemn or very pious.The bored looking and unhappy faces make me feel uneasy."
akseli-gallen-kallela_lemmink-inen-s-mother-1897,sadness,"The colors and the scene make me feel sad.It appears that the man is deceased and the woman is praying.I am sad becasue the woman seems to have tried her best to help this man, without success.  she is not content with his passing, but sadened that she could not do more.  she looks for understanding without answers.She looks to be praying for help.Image of death of man laying floor with head covered woman placing hand over his chest and looking up for mercy.A nun sits over a deceased man with her hand on his abdomen as she looks up to the sky..It looks like someone is clearly dying in this painting."
albert-bloch_scherzo-1926,fear,In the center it looks like two people with no heads.People are garding their faces in fear.Anything human-like in this picture seems very distressed.
alexander-calder_yellow-tights-1945,something else,The concentric circles are dizzying and lightly off putting. it gives me a sense of unease.The subject looks to be confused and dazed because the eyes don't look focused.I feel silly looking at this painting it's a monkey.
amedeo-modigliani_female-nude-with-hat,disgust,The nakedness is bold and offensive.The tone of this person is just off-putting and kind of gross.The strange use of yellow and gray here achieve a sense of disgust and awe simultaneously.Very distorted human face with a unappealing naked body makes me feel disgusted.
amedeo-modigliani_portrait-of-a-young-woman-1,sadness,I hate that this photo seems to be of a woman who is extremely sad. i don't like that she seems tired and overrun with emotion.There is sadness in the eyes and the mouth and darkness in the outfit.She looks really sad.The woman looks very sad.
amedeo-modigliani_woman-s-head-rosalia,amusement,The large face looks funny sitting atop the skinny neck.Looks like a portrait that an elementry school child made.The head is much larger than the neck.
andre-derain_bust-of-a-woman,sadness,She is slouching and her face looks sad.The lady looks a bit down.The woman looks forelorne.The woman looks fearful and in dispair.
aurel-cojan_nature-morte-au-pichet-1949,something else,"The fresh meal of fish on the place, along with the coffee pot evoke a sense of hunger.Hungry i like to eat fish.I there there is a sense of gratitude to be able to partake in such a meal."
balthus_the-child-with-pigeons,something else,"I am confused about what the man is looking at.  the focus is above the plant and out of the picture.  i see the birds, but they are to the right of his gaze.  i would think they were making enough noise to attract his attention?Not to be around the bush - this painting is ordinary, colors are ok - i'm not sure whether the birds are inside or out.Boring painting of a guy looking up at birds flying or whatever caught his attention."
basuki-abdullah_balinese-ceremony,something else,It looks as though riots are breaking out and the sky is on fire.This painting evokes curiosity. the tall building with people below make me want to know the story.The contrast of the tall tower and smaller figures seems meaningful but the narrative is unclear and confusing.
billy-childish_robert-walser-lying-dead-in-the-snow-2008,excitement,"The harsh brush strokes, use of color, and falling top hat cause me to engage with the image.I like the movement of the white like snow and the men out on the lake.The surreal and dreamlike color patterns here really makes you feel at ease.The mix of colors comes together well to make a figure."
carlos-orozco-romero_woman,fear,The woman's eyes are very dark and intense.She puts me on edge.  like she has key information and isn't willing to share it.How close you are to the woman's face and her black eyes.
carlos-orozco-romero_woman-with-hat,amusement,"Ill proportioned woman in a large dress with a blank faced stare.It looks like someone put a crash dummy in a dress, straw hat, and high heels to do the ""weekend at bernie's"" dance.Amused because it looks like a pregnant woman."
carlos-saenz-de-tejada_the-enchanted-forest-holy-company,awe,This man appears to be wise to his situation and is content with it.The scale of charcoal grays gives this a smokey effect that i like.The lines in the face and bold eyebrows add details to the man's face.
chaim-soutine_landscape-of-cagnes,fear,The branch in the front of the picture looks like a large hand!The colors are unsettling in the painting and the images in the road appear to be fleeing from something.The blackness that surrounds the sleepy town is scary.
chaim-soutine_mother-and-child,fear,"The woman holding the child seems to be missing an eye and has an overall eerie feeling.The creepiness of this artwork is further enhanced by the muddy browns and greys in the background.What happened to the poor girl, that she and the doll have traded places.The child is missing an eye and that doll is really creepy looking.For some reason this is a very disturbing image.  the person's face looks damaged and inhuman, while the doll in her lap looks alive.  this is like something from a horror movie, and the dark colors around the subject only intensify the creepy vibes."
charles-demuth_the-shine-1916,disgust,The different class of people at the top and bottom makes it uncomfortable to look at.The pleasing upturned faces to the clients kind of makes me angry for the shoe shiners.The painting depicts a stark contract between the working class and aristocrats.
clyfford-still_ph-343-1937,disgust,"This male body looks like its hung in a butcher shop, just yuck.The figure is creepy and somehow dehumanised.the lack of a head disturbs.The bronze colored drawing looks like someone who is rotting and dead."
corneliu-baba_piet-1986,sadness,"A crowd gathered around a dead body, so sad to see their lost.The imagery only shows the non-descriptive nature of those around the dead man. i am torn between horror  and dislike.As he lay dead on the ground in front of them, their grief struck looks of horror and mourning portray utmost sadness.Details on people's faces show the deep grief they feel."
david-alfaro-siqueiros_head-of-a-woman-1936,sadness,"This man's face looks singed, since there's a strip of black running down his forehead, as though he was hurt in a fire.Sad painting of a sad man because of the dark color that look gloomy.The colors are darker and gloomy.  the person in the picture does not look that happy."
dimitris-mytaras_untitled-1990,disgust,"There are some awkwardly shaped limbs and faces, and some mucky colors.Wow, just wow. vibrant colors, but this should not be referred to as 'art'.The distorted women in odd colors don't look right."
dimitris-mytaras_untitled-1995,excitement,The bright colors and bold shapes convey a sense of movement and energy.The bright red of the flowers and green leaves as well as the lavender shirt of the woman are exciting. the abstract painting highlights the contrast of bright colors and gives a feeling of movement.The vibrant colors and sense of motion in the lines give this work energy.
edvard-munch_melancholy,sadness,"Because the lady seems to be crying, covering her eyes with her hands in that posture.Because it looks like the lady is crying so it makes me feel sad.The woman in the red dress seems fallen, and sad.The woman in red appears to be crying about something.A woman as lonely as this makes any man sad."
edvard-munch_nude-i-1913,sadness,"This young lady looks extremely distraught.The woman may be mourning over some dreadful news that she has just received.The young woman splays out, and she lowers her head as if she has just received notice that her lover has died.This woman looks like she is in a deep sadness and i wish i could do something about it for her.The long hair and the position of the person make it look like she's crying."
edvard-munch_self-portrait-in-hell-1903,fear,"The orange background makes me think of fire and the black is like smoke as if the man is in a fire or in hell.The red and black in the photo make the man look evil.The man's fearful face, along with the orange and black color scheme, make me believe he's burning.That black shadowy shape behind the man could be a demon, or dark wings coming from behind him. the warm orange colors of the painting make one feel like he's in the underworld."
edvard-munch_self-portrait-with-cod-s-head-1940,disgust,"The painting looks awesome until you u see what the guy is eating, it looks real disgusting.The man seems as if he is being forced to eat the head of a weird animal.The object on the plate looks somewhat like a skull and the man looks very ready to dig in. not a very good looking meal."
edvard-munch_spring-plowing-1916,excitement,"The horses have broken free and running for their freedom.Two beautiful horse depicted, prettt exciting to see them on the canvas.The blurred lines and colors portray excitement because they seem to indicate motion."
egon-schiele_double-self-portrait-1915,fear,"The two men in the image looks terrific with their terror face.The man on the left looks like he is forcefully holding the other person and the colors are angry.The mans expression is okay, but the females expression is very serious and intimidating, making me fearful.This people look possessed or like zombies and it's creepy."
egon-schiele_the-bridge-1913,excitement,"I look around and see so many options; do i stay, or do i go?The bridge leads to new advertures.The image looks like a bridge with perfect colouring.The use of line leads the viewer's eye through the work showing movement."
emil-nolde_burial-1915,sadness,The people are very sad holding another person that has died.The man being choked makes me want to help him.These people seem to be holding on to a dead body in mourning.
emil-nolde_the-enthusiast,amusement,"This is a very interesting painting based on the character painted green with a nude character.This one is just funny. the woman's face is so out of it, she looks high.Exagerrated features by these two characters and beautiful looking people."
endre-balint_self-portrait-1936,amusement,"Kind of funny looking, facial features are large.It is almost a caricature with the big eyes and angular face.I love the shape of this man's head and his right eyebrow.Funny looking facial features as his head is big and so are his eyes and nose."
ernst-ludwig-kirchner_moon-rising-at-the-staffelalp,excitement,"The couple is sitting in front of the house.This painting style looks like it belongs in a child's fairy tale story book.That sun shaped figure in the background is pretty cool, i've never seen anything like that."
ernst-ludwig-kirchner_portrait-of-a-sick-man,fear,"Grotesque looking man creature with snarly hands and a mean and angry expression.The contrast of black and white always accentuates the scariness of a painting or drawing.This dark character looks evil and like i'm being threatened.This painting makes me feel fear, the man looks large and scary. the lack of color enhances fear."
ernst-ludwig-kirchner_rhaetian-railway-davos,fear,"Darkness envelops a train in the mountains as the mysterious man at bottom right hovers with sinister intentions.The dark shadows are very scary in how the scene is represented.The overwhelming darkness over the town gives a sense of foreboding.I see a train struggling to get up a hill, the man standing outside the train is a disturbing figure.The tall lanky man just standing there is quite disturbing and brings fear."
ernst-ludwig-kirchner_schlemihls-entcounter-with-the-shadow,excitement,"I feel like i'm the one that is winning this race!I like the strange body postures of the blue figure and black figure at the front of the painting.The color scheme brings energy, and the depiction of the character is clever."
ernst-ludwig-kirchner_staffelalp-by-moonlight,fear,The dark colors and harsh lines makes this a bit grim.This black and white scene feels like a storm at sea.The violent lines suggest catastrophic turmoil in an ocean or battlefield.This scares me because you can see a face in the art work. terrifies me.
ernst-ludwig-kirchner_street-scene-in-front-of-the-shop-window,fear,The intense lines and lack of color evoke a sense of fear.The men surrounding the accused int he middle seem to hold his life or death in their decisions.The crowd of dark men surrounding another makes you think they are going to do something bad.
ernst-ludwig-kirchner_the-blue-tree,fear,The dark colors and long shapes remind me of scary woods.The unclear dark faces casted in shadows by the cloaks are like nightmare men.The shapes in this painting and the dark color palette are very ominous.
ernst-ludwig-kirchner_the-mountain,fear,"Firer mountains in the night, as a volcano is beginning to erupt.It looks like the earth is opening up and about to swallow everything whole.This painting makes me feel a bit of fear because it reminds me of what a volcano would look like if it erupted."
filipp-malyavin_three-women-1902,fear,"All the women's faces are at the top of the painting which makes me feel like i am very short, looking up to them. the woman on the right is frowning and depicted in red so she feels menacing. the woman in the middle is smiling, but her form is much more ambiguous which makes me not trust her. the woman on the left is set furthest back in the painting and is partially obscured, but her facial expression looks worried. i fear for my safety.Two of the three people look dead, and the woman on the left has a terrified look suggesting she is next.These women look like witches and one looks like she is holding a chainsaw.The women in this image look evil and like they're judging the viewer.The perspective makes it creepy the way everyone is standing over the viewer.The reds make the woman look like a zombie."
frank-auerbach_j-y-m-seated-no-1,fear,"Holy hell, that's supposed to be a woman? it looks like a spider being consumed by black flames!This picture has a distorted picture in it and it looks scary.The dark lines and pale splashes around what seems like the head look like a skeleton."
frank-auerbach_maples-demo,disgust,"The yellow color used for this reminds me of baby poop; reminds me of finger painting.The colors and texture remind me of baby poop. i can't see past it to think anything else.This color is really ruff on the eyes because its the color of what a baby would leave in a diaper.I really don't care for this muddy yellow-brown shade they are using, it reminds me of fecal matter."
franz-marc_the-red-deer-1912,awe,"The softness and the way the bodies flow show a serenity in the animals.Full of color. 'fanciful' isn't the right word, but it seems like you can feel movement.There seems to be a shaman feel in this photo with the two foxes.Scientists are surprised to discover that fawns will howl at the moon."
george-bouzianis_nude-sitting-woman-1919,disgust,"The woman lacks clear facial expressions or even fingers.Its not very artistic, it looks like a three year old drew this.Stop taking drugs and the quality of your art will improve."
george-pemba_zulu-woman-unfinished-symphony-1941,awe,"The beauty in this picture,fashion style and culture.She looks like a badass. i wouldn't mess with her.This art is very unique, i like how she is drawn with the use of colors."
georges-rouault_crucifixion-1937,disgust,This looks like the crucification of christ and the color just inspire nausea.Ok i normally like abstract stuff but this is just a weird religious picture -- it's neat in that it's got a lot of detail in this image with such broad lines that look like they have no details.It makes me mad a human is hanging on a cross.
grã©goire-michonze_self-portrait-1971,fear,The mans sharp features and intense gaze make me wary of him.A sketch of a mans face that reminds me of a serial killer sketch.The expression of the subject is like he is staring into your soul.Those eyes are bugging they are super creepy.
hans-richter_portrait-de-lou-m-rten-1915,anger,The face of a man with a very angered or possibly worried look.It has an angry look to the face.The black is slashed about and the eyes are ominous making me feel angry.
hedda-sterne_saul-steinberg-1950,something else,"Its not hte most amazing drawing. its good, but its not anything amazing.This drawing is of a man who is busy trying his luck in drawing.This is simple it almost looks unfinished the lines are light the sleeves on the shirt do not match it feels like it is not quiet done.Pencil drawing of a man, balding with glasses and a sweater. he is writing and seems intellectual and intense."
henri-matisse_interior-with-black-fern-1948,disgust,"The cheetah pattern on the floor clashes big time with the red wall in my opinion. i find that it just looks gross. there's no face on the woman either which isn't appealing.I very much do not like the bold yellow, especially with the black spot pattern on it.It makes me feel like i am in an alternate reality where a vase can come alive."
henri-matisse_not-identified-25,anger,This lady is dressed in her purple dress and is angry because she has to wait.Her expression says she is not impressed. with you.Her facial expression is angry and her arms are crossed which makes her seem standoffish.
henri-matisse_nude-with-scarf,something else,A diva who is posing for the artist reminds me that any shape can be painted nude.Not sure how this makes me feel. i enjoy the reds and the black. it all works well together. the person looks realistic enough. good painting.She looks very relaxed but sensual at the same time.
henri-matisse_purple-robe-and-anemones-1937,excitement,"There are so many different patterns.  i really like the orange and yellow wall on the back against the gray wall.  very colorful.Her stripey purple robe is super exciting and brightens the entire work.The bright colors arouse my interest, even though nothing is really happening."
henri-matisse_standing-odalisque-reflected-in-a-mirror-1923,disgust,"The woman poses without expression but the mirror reflects her boredom and disinterest in the person she waits for.She is naked, this photo is gross and inappropriate with her tits showing.The patterns and lack of any clarity to the facial features of the woman make me feel depressed as if things are off center and not fashionable."
henri-matisse_woman-with-a-veil-1942,something else,She is transparent both physically and mentally i think.I feel nothing with this one it is a boring portrait.I don't think the colors used inspire anything in the face.Her hair does not contrast well with her skin.
horia-bernea_bread-1976,disgust,"The psychadelic melting of colors reminds me of vomit.The use of the place mens of red over this round objects gives me disgust feelings. it reminds me of part of the body bleeding out.This rock looks really ugly. there's a lot of random colors and stains on it, which might be blood or something else."
horia-bernea_the-column-1997,something else,"The painting looks like it's half-finished, lacking in intricate detail.I feel confused because this painting is so strange. i don't know what it is.I don't have any feeling about this.there aren't many details i can latch on to. it kinda looks like a nice rug."
ilka-gedo_artificial-flower-on-a-naples-yellow-background-1980,something else,"Nothing - looks like cement discolored and cracked on a bar floor.It just looks like a rusty metal door, like it's been exposed to the elements and is decaying.The picture confuses me, i cant make out if this is meant to be a hanging stand."
ilka-gedo_ganz-factory-1948-1,sadness,A man puts in many lonely hours at ty he factory he works at.This suggests chaos and hard repetitive work done by an anonymous figure.It looks like this lady is working in a supermarket with a checkbook and stacks of cash to her right.The picture expresses an emotion of loneliness.
ion-pacea_peisaj-de-litoral-1973,disgust,"It looks like a close u shot of the eye of a colourful south american tree from, but given the red and white colour scheme, likely one of the poisonous ones.This looks like a blue eye surrounded by red, bloody lids and canthus. the swirling grey at the bottom is disturbing and suggests the flaking skin of a corpse.Looks like an eye floating in blood which is gross."
ion-tuculescu_circuits,disgust,"Looking at all these circles and colors is just giving me a headache.I don't like the odd, repetitive eye motif and the random use of colors.This is just one ugly mess, awful colors, looks like it was just slopped on the page by a child, not art to me!"
ion-tuculescu_landscape-with-tree,fear,"Demonic eyes repeatedly peer out of the burning field with malicious intent.This looks likes a garden of lost souls which is scary.The whole paint looks like a scene from hell, the deep dark used for the sky is terrifying."
istvan-farkas_man-and-woman-in-the-window-1939,fear,"This looks like ghosts looking in a window.The two faces do not have any eyes and look ghost like.The faces in this painting look scary, almost as if they are wearing masks or are mimes."
istvan-farkas_self-portrait-1932,something else,This painting doesnt invoke too much emotion in me. coloring is neutral and the guy just looks tired or sleeping.This painting is weird you could kinda see his facial expression on the shadows and background.Doesn't do much for me emotionally.  not a huge fan of this type of portrait.
ivan-albright_self-portrait-no-18-1983,something else,"It looks like a blurred version of the pope.The facial expression and the shading, line colouring, it makes me feel like whoever did this may have made a severe mental illness.It appears to me to be a slightly distorted sad face of the pope.The lack of details on the person except the eyes is very disappointing."
jackson-pollock_bird-1941(1),fear,"The staring psychotic eye seems to be opening a portal to another dimension.The colors mix in strange ways almost like they are in motion, while it is ambiguous what the figure in the foreground is, its black lines appear to be grasping at me like claws. the use of blues and reds in the eye in the background make it feel menacing and judgmental.The giant single eyeball sticks out, and it is not pleasant.  the heads at the bottom are also not good.  i don't want to know what this painter is trying to portray.The floating eye and misshapen heads are very strange and mystical."
jean-paul-lemieux_jeune-fille-l-hiver-1977,sadness,Man despairs that he sees a bigfoot in the distance but he has no camera in his cell phone.Person alone in the snow with a couple visible in the distance.The dull gray colors make this look sad and her expression is sad.The picture has an overall cold feel and the child looks lonley.
jean-paul-lemieux_julie-et-l-univers,something else,"The central figure being off center makes me feel off kilter.Confusion..there is the collar of a cleric yet the face has feminine features and the yellow coat.Even though the skies are yellow it looks like it's cloudy, the man standing in the front with the bright orange rain coat and black hat, makes it feel this is a raining cold day."
johannes-sveinsson-kjarval_the-sisters-of-stapi-1948,fear,I feel the anger and frustration of these people.The scowls on their faces make them look like evil trolls.The faces of the women look angry and the blue and brown color of their swirled hair reminds me of a storm.
